Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
Purrumbete North 15005,89085,Otway,703121.570127039,5767673.865055,99,20,POOR,349,Taylor & Mather 2015,,,,
Quantong 2,89344,Murray,588419.587548767,5943028.18079586,55,7,MODERATE,151,Taylor & Mather 2015,,,,
Sale 13,90138,Gippsland,1045348.96214933,5763130.9846677,73,3,GOOD,950,Taylor & Mather 2015,,,,
Shepparton 7951,90911,Murray,899893.653229768,5961391.74913103,103,21,POOR,100,Taylor & Mather 2015,,,,
Stewart 1,,Bedrock,757726.237312543,5872354.04535882,51,6,MODERATE,301,Taylor & Mather 2015,,,,
Tandarook 2,93323,Otway,687315.594535154,5753975.36398324,73,10,POOR,407,Taylor & Mather 2015,,,,
Tara Tara BORE 147174,19964,Gippsland,1000542.65879113,5707906.95298893,102,18,POOR,158,Taylor & Mather 2015,,,,
Tarragal 3,93794,Otway,539743.835115128,5754298.4352388,59,5,GOOD,733,Taylor & Mather 2015,,,,
Tarranginnie X,112204,Murray,538350.98683378,5980539.00391367,60,9,POOR,248,Taylor & Mather 2015,,,,
Tarwin Meadows 1,,Gippsland,922698.740731891,5702782.472642,62,16,POOR,1202,Taylor & Mather 2015,,,,
Timboon 20002,353203,Otway,674420.667689768,5739997.42429279,56,4,GOOD,445,Taylor & Mather 2015,,,,
Toltol 2 ,95513,Murray,666479.992394055,6164691.02522357,67,10,POOR,90,Taylor & Mather 2015,,,,
Toolamba West 16,95919,Murray,872026.092660328,5955433.09520233,69,15,POOR,80,Taylor & Mather 2015,,,,
Toongabbie South 36,376243,Gippsland,997678.40394127,5763910.22959967,70,11,POOR,612,Taylor & Mather 2015,,,,
Tragowel 84,96557,Murray,767402.04093826,6030893.04993393,73,11,POOR,152,Taylor & Mather 2015,,,,
Traralgon 286,96560,Gippsland,985417.266339911,5758673.93044592,80,6,POOR,542,Taylor & Mather 2015,,,,
Tynong 1,965823,Bedrock,906671.23375731,5776931.22472014,85,4,GOOD,400,Taylor & Mather 2015,,,,
Ullina 1,,Bedrock,757234.792929429,5866067.48410101,94,9,MODERATE,315,Taylor & Mather 2015,,,,
Ultima X,97603,Murray,705173.047308839,6071348.94946378,86,22,POOR,118,Taylor & Mather 2015,,,,
Waarre 15002,97994,Otway,687720.929878566,5767678.82564161,59,7,POOR,437,Taylor & Mather 2015,,,,
Waarre 15003,97995,Otway,685720.392958939,5720226.60624042,50,9,POOR,328,Taylor & Mather 2015,,,,
Wallowa X,8803862,Murray,507355.018008464,6025508.98341875,51,10,POOR,208,Taylor & Mather 2015,,,,
Wallpolla 1,98305,Murray,564153.984934529,6208274.98285429,64,4,MODERATE,447,Taylor & Mather 2015,,,,
Wangoom 2,99486,Otway,631447.336534976,5751521.51172135,59,12,POOR,756,Taylor & Mather 2015,,,,
Warracbarunah X,111786,Otway,746349.266680946,5771472.8578646,61,8,MODERATE,489,Taylor & Mather 2015,,,,
Warracknabeal 15001,101108,Murray,632700.36690551,5997099.29269922,65,8,MODERATE,234,Taylor & Mather 2015,,,,
Warrain 7,101239,Otway,509744.027933689,5787576.03308682,78,3,GOOD,272,Taylor & Mather 2015,,,,
Warrak 1,101248,Bedrock,687069.81334741,5872528.05132777,60,11,POOR,150,Taylor & Mather 2015,,,,
Watchupga X,110163,Murray,656232.019658815,6041561.01585141,70,17,POOR,162,Taylor & Mather 2015,,,,
Werona  1,,Bedrock,769139.671170153,5872515.3928646,71,9,MODERATE,310,Taylor & Mather 2015,,,,
Wharparilla 17,102828,Murray,829508.447512357,6001579.53779347,70,10,MODERATE,161,Taylor & Mather 2015,,,,
Willah 1,103159,Murray,582470.734811913,6186579.01955733,70,3,GOOD,541,Taylor & Mather 2015,,,,
Wimbirchip,103893,Murray,664581.983428282,6017455.99700587,84,19,POOR,147,Taylor & Mather 2015,,,,
Winiam X,8003884,Murray,566181.987600043,5968210.02593461,61,11,POOR,185,Taylor & Mather 2015,,,,
Winnindoo 46,103583,Gippsland,1002509.23853034,5766867.30804673,59,12,POOR,664,Taylor & Mather 2015,,,,
Wombat 4,,Gippsland,1035550.67301491,5735372.12998112,67,21,POOR,1714,Taylor & Mather 2015,,,,
Woolwoola 25,104800,Murray,530781.004944697,6208357.03230618,73,3,GOOD,527,Taylor & Mather 2015,,,,
Woranga 12,110726,Gippsland,1000957.8292952,5715910.72887804,76,9,POOR,528,Taylor & Mather 2015,,,,
Wyperfeld 15001,105664,Murray,591794.960857922,6055950.02544043,80,12,POOR,85,Taylor & Mather 2015,,,,
Yalca 58,105929,Murray,881609.191348235,6009864.66236699,81,10,POOR,138,Taylor & Mather 2015,,,,
Yallock 11,106103,Gippsland,900311.488739432,5764526.71539442,60,13,POOR,107,Taylor & Mather 2015,,,,
Yangery 1,107007,Otway,619918.34858835,5759710.35242105,58,12,POOR,640,Taylor & Mather 2015,,,,
Youanmite 12,109357,Murray,917530.050691317,5986745.46704867,62,15,POOR,108,Taylor & Mather 2015,,,,
Radium Hill,,Willyama Inliers,453030.161250982,6404030.76825666,75,,UNKNOWN,,Sass et al. 1976,,,,very stable interval below about 160 m with 3 tightly concondarnt estimates
ARD 1,,Otway Basin,497141.066669576,5817610.48417377,69,8,UNKNOWN,,Matthews et al. 2013,,,,
Beachport 1,,Otway Basin,415140.097009918,5854700.6553262,90,5.7,UNKNOWN,,Matthews et al. 2013,,,,somewhat spikey interval below climate effects to 160 m with 2 tightly concordant estimates moderately different to deeper third estimate 
